-4.8;0.68018;-0.205798
-4.6;0.659253;-0.177884
-4.4;0.641573;-0.149905
-4.2;0.623218;-0.121817
-4;0.606347;-0.0906094
-3.8;0.591769;-0.0598977
-3.6;0.575707;-0.028124
-3.4;0.561305;0.00689578
-3.2;0.547885;0.0413898
-3;0.532118;0.0784619
-2.8;0.517822;0.119248
-2.6;0.502529;0.160274
-2.4;0.483511;0.206307
-2.2;0.464689;0.257325
-2;0.441066;0.310788
-1.8;0.410028;0.373504
-1.6;0.373935;0.444333
-1.4;0.322342;0.522407
-1.2;0.248628;0.616837
-1;0.14536;0.723104
-0.8;-0.019328;0.834666
-0.6;-0.280701;0.938193
-0.4;-0.676801;0.946424
-0.2;-1.18335;0.670769
-3.7581e-14;-1.46417;1.46105e-13
0.2;-1.18335;-0.670769
0.4;-0.676801;-0.946424
0.6;-0.280701;-0.938193
0.8;-0.019328;-0.834666
1;0.14536;-0.723104
1.2;0.248628;-0.616837
1.4;0.322342;-0.522407
1.6;0.373935;-0.444333
1.8;0.410028;-0.373504
2;0.441066;-0.310788
2.2;0.464689;-0.257325
2.4;0.483511;-0.206307
2.6;0.502529;-0.160274
2.8;0.517822;-0.119248
3;0.532118;-0.0784619
3.2;0.547885;-0.0413898
3.4;0.561305;-0.00689578
3.6;0.575707;0.028124
3.8;0.591769;0.0598977
4;0.606347;0.0906094
4.2;0.623218;0.121817
4.4;0.641573;0.149905
4.6;0.659253;0.177884
4.8;0.68018;0.205798
5;0.702262;0.23055
5.2;0.724534;0.2557
5.4;0.750714;0.279793
5.6;0.777609;0.300576
5.8;0.805603;0.321838
6;0.837822;0.340665
6.2;0.870165;0.355951
6.4;0.904478;0.371385
6.6;0.942881;0.382646
6.8;0.980545;0.390103
7;1.02091;0.397014
7.2;1.06462;0.397682
7.4;1.10626;0.394379
7.6;1.1511;0.38964
7.8;1.19781;0.376263
8;1.24027;0.35908
8.2;1.28627;0.339885
8.4;1.33213;0.30913
8.6;1.36975;0.275083
8.8;1.41085;0.240509
9;1.45141;0.191439
9.2;1.47818;0.137138
9.4;1.50367;0.0858204
9.6;1.5289;0.0229372
